date,open,high,low,close,volume,adjusted,symbol
2021-12-31,35.6,37.7,35.5,37.1,4857000,37.1,BID
2021-12-30,35.4,35.7,35.2,35.4,987000,35.4,BID
2021-12-29,35.55,35.55,35.1,35.2,1581600,35.2,BID
2021-12-28,35.5,35.5,34.9,35.2,1359900,35.2,BID
2021-12-27,35.2,35.5,35,35.3,1202100,35.3,BID
2021-12-24,34.5,35.4,34.5,35,1525000,35,BID
2021-12-23,34.8,34.9,33.7,34.5,2318800,34.5,BID
2021-12-22,44,44.25,42.95,43.3,2856600,34.27,BID
2021-12-21,44.5,44.65,43.8,43.8,2787700,34.66,BID
2021-12-20,44.8,44.95,44.5,44.6,1256500,35.3,BID
2021-12-17,44.9,45.5,44.1,44.9,1880500,35.53,BID
2021-12-16,45,45,44,44.9,1674500,35.53,BID
2021-12-15,45.2,45.5,44.75,44.9,1453900,35.53,BID
2021-12-14,45.7,45.7,45.2,45.3,1739800,35.85,BID
2021-12-13,45.5,45.8,45.1,45.5,2477500,36.01,BID
2021-12-10,44.3,45.2,44.3,44.6,2064600,35.3,BID
2021-12-09,43.95,44.15,43.55,44,1008500,34.82,BID
2021-12-08,43.7,44.3,43.45,44,1145000,34.82,BID
2021-12-07,42.05,43.75,42.05,43.6,1653500,34.51,BID
2021-12-06,43,43,41.65,41.95,2858100,33.2,BID
2021-12-03,44.5,44.5,42,42,2199100,33.24,BID
2021-12-02,44.25,45.4,44,44.2,1367300,34.98,BID
2021-12-01,44.4,44.7,43.7,44.3,1755700,35.06,BID
2021-11-30,44.9,45.65,43.6,44.4,2562100,35.14,BID
2021-11-29,44.5,45,44.1,44.5,3560500,35.22,BID
2021-11-26,46.1,46.2,44,45.45,4132100,35.97,BID
2021-11-25,46.4,46.4,45.3,45.35,2706800,35.89,BID
2021-11-24,44.95,46.1,44.6,46.05,4127600,36.44,BID
2021-11-23,45.5,45.5,44.2,44.7,1795000,35.38,BID
2021-11-22,44.4,46.2,44,45.55,4942900,36.05,BID
2021-11-19,44.55,46.05,42,44.4,4055100,35.14,BID
2021-11-18,44,44.9,43.4,44.5,3510800,35.22,BID
2021-11-17,42.65,43.8,42.45,43.6,2444800,34.51,BID
2021-11-16,42.7,43.1,42.45,42.8,1266900,33.87,BID
2021-11-15,43.35,43.5,42,42.8,1523300,33.87,BID
2021-11-12,42.35,43.3,42.35,43.2,1878000,34.19,BID
2021-11-11,43.4,43.5,42.2,42.8,2441800,33.87,BID
2021-11-10,43.1,43.5,42.35,43,2138500,34.03,BID
2021-11-09,44,44.15,43,43,3341000,34.03,BID
2021-11-08,43.6,44.4,43.15,43.9,2686800,34.74,BID
2021-11-05,44,44.4,43.25,43.6,1940900,34.51,BID
2021-11-04,43.15,44.25,42.7,44,4380200,34.82,BID
2021-11-03,42.3,44.1,42,43.05,6141700,34.07,BID
2021-11-02,41.8,42.5,41.6,41.95,1597700,33.2,BID
2021-11-01,42,42.1,41.6,41.8,3293200,33.08,BID
2021-10-29,40,41.7,39.9,41.5,3905300,32.84,BID
2021-10-28,40,40.2,39.7,39.85,1237100,31.54,BID
2021-10-27,39.25,39.95,39.25,39.9,1412900,31.58,BID
2021-10-26,39.2,39.4,39.15,39.2,697200,31.02,BID
2021-10-25,39.6,39.6,39.2,39.2,889700,31.02,BID
2021-10-22,39.5,39.7,39.3,39.3,1054900,31.1,BID
2021-10-21,39.75,39.9,39.5,39.5,632200,31.26,BID
2021-10-20,40.05,40.2,39.3,39.75,1079600,31.46,BID
2021-10-19,39.3,40.55,39,40.05,2212300,31.7,BID
2021-10-18,39.5,40.05,39,39.3,1795500,31.1,BID
2021-10-15,39.55,39.85,39.5,39.5,1104900,31.26,BID
2021-10-14,39.9,39.95,39.55,39.55,1060700,31.3,BID
2021-10-13,40.3,40.45,39.6,39.9,1423600,31.58,BID
2021-10-12,40.2,40.75,40.05,40.25,1985900,31.85,BID
2021-10-11,39.6,40,39.4,40,1760100,31.66,BID
2021-10-08,39.15,39.4,39.15,39.2,978100,31.02,BID
2021-10-07,39.4,39.5,39.15,39.15,1021500,30.98,BID
2021-10-06,39.5,40,39.3,39.4,813300,31.18,BID
2021-10-05,39,39.55,39,39.3,730100,31.1,BID
2021-10-04,38.85,39.6,38.5,38.9,1055100,30.79,BID
2021-10-01,39.3,39.45,38.8,38.8,1848810,30.71,BID
2021-09-30,39.85,40,39.35,39.45,1097300,31.22,BID
2021-09-29,40.05,40.05,39.3,39.9,1183100,31.58,BID
2021-09-28,39.4,40.35,39.2,40.1,2187700,31.74,BID
2021-09-27,39.7,40.1,39.2,39.4,1210800,31.18,BID
2021-09-24,39.5,39.8,39.45,39.7,997080,31.42,BID
2021-09-23,39.8,39.9,39.45,39.45,1084600,31.22,BID
2021-09-22,39.6,39.9,39.1,39.6,1267800,31.34,BID
2021-09-21,39.5,39.8,39.2,39.65,1524100,31.38,BID
2021-09-20,40.05,40.3,39.9,39.9,1957000,31.58,BID
2021-09-17,39.6,40.45,39.6,40,1816280,31.66,BID
2021-09-16,39.1,39.5,39.05,39.4,1465600,31.18,BID
2021-09-15,38.6,39,38.6,38.8,1055100,30.71,BID
2021-09-14,39.1,39.15,38.6,38.7,1415300,30.63,BID
2021-09-13,39.65,39.65,39,39.15,1734700,30.98,BID
2021-09-10,40,40,39.6,39.65,793800,31.38,BID
2021-09-09,39.6,39.8,39.55,39.8,839800,31.5,BID
2021-09-08,40.2,40.4,39.5,39.6,1620900,31.34,BID
2021-09-07,39.3,40.2,39.15,39.7,1709800,31.42,BID
2021-09-06,39.05,39.5,38.95,39.1,1364600,30.94,BID
2021-09-01,38.8,39.1,38.65,39,1357900,30.86,BID
2021-08-31,39.6,39.6,38.95,38.95,1902700,30.83,BID
2021-08-30,39,39.5,38.8,39.45,1759587,31.22,BID
2021-08-27,38.5,39,37.8,38.7,1906500,30.63,BID
2021-08-26,39.65,39.65,38,38.6,2045600,30.55,BID
2021-08-25,39.5,39.55,39,39.45,1103600,31.22,BID
2021-08-24,39.3,39.7,38.9,39.4,2797900,31.18,BID
2021-08-23,40.5,40.8,39.3,39.3,2742300,31.1,BID
2021-08-20,42.6,42.9,40,40.5,4363500,32.05,BID
2021-08-19,42.6,42.6,42.15,42.5,1803900,33.63,BID
2021-08-18,42.9,43,42.5,42.65,1514500,33.75,BID
2021-08-17,43.6,43.6,42.8,42.95,3475300,33.99,BID
2021-08-16,42.35,43.5,42,43.3,3286300,34.27,BID
2021-08-13,42.65,43,41.8,42.55,2309600,33.67,BID
2021-08-12,43.35,43.4,42.8,42.8,1709400,33.87,BID
2021-08-11,43.3,44.1,42.9,43.1,2739100,34.11,BID
2021-08-10,43.25,43.5,43.15,43.3,1825400,34.27,BID
2021-08-09,42.55,43.15,42.35,43.15,1743800,34.15,BID
2021-08-06,42.95,43.4,42.6,42.9,1868300,33.95,BID
2021-08-05,42.6,43.5,42.3,42.95,2116600,33.99,BID
2021-08-04,43.4,43.5,42.7,43,2111700,34.03,BID
2021-08-03,42.3,43.35,42.1,43.35,2765600,34.31,BID
2021-08-02,42,42.95,42,42.55,3961400,33.67,BID
2021-07-30,41.3,41.35,40.95,41.1,2031500,32.53,BID
2021-07-29,40.8,41,40.6,41,1179900,32.45,BID
2021-07-28,40.2,40.5,40,40.5,1233300,32.05,BID
2021-07-27,40.4,40.8,40.15,40.2,1428900,31.81,BID
2021-07-26,40,40.35,39.5,40,1436900,31.66,BID
2021-07-23,40.9,41.5,40.2,40.2,1823500,31.81,BID
2021-07-22,40.6,41.1,40.6,41,1700900,32.45,BID
2021-07-21,41.4,41.4,40.5,40.7,1157700,32.21,BID
2021-07-20,39.7,41,38.9,41,2713600,32.45,BID
2021-07-19,41.1,41.9,39.65,39.65,2980800,31.38,BID
2021-07-16,42.8,43,42.5,42.5,1416400,33.63,BID
2021-07-15,42.05,43.15,42,42.7,1793200,33.79,BID
2021-07-14,42.5,42.7,41,42.6,1788900,33.71,BID
2021-07-13,42.5,42.75,41.55,42.4,1982500,33.56,BID
2021-07-12,44.6,44.6,41.8,42,6021800,33.24,BID
2021-07-09,45.2,46,44,44.9,3587800,35.53,BID
2021-07-08,45.5,46.15,44.95,45.8,2127400,36.25,BID
2021-07-07,44.5,45.65,43.6,45.5,3943600,36.01,BID
2021-07-06,46.9,48.6,44,44,6896000,34.82,BID
2021-07-05,47.05,47.05,45.2,46.65,3489500,36.92,BID
2021-07-02,47.5,47.75,46.9,47.05,4204700,37.24,BID
2021-07-01,47.5,47.65,46.85,47.3,4601600,37.43,BID
2021-06-30,46.9,47.45,46.85,47.25,4101800,37.39,BID
2021-06-29,47,47.9,46.6,46.9,3945700,37.12,BID
2021-06-28,46,47.1,45.65,46.9,6685100,37.12,BID
2021-06-25,45.1,46,44.7,45.55,2572300,36.05,BID
2021-06-24,45.4,45.9,45,45.2,2110700,35.77,BID
2021-06-23,44.9,46.4,44.9,45.4,2574200,35.93,BID
2021-06-22,45.3,45.45,44.9,45,2811900,35.61,BID
2021-06-21,45.9,46,44.85,45,4237600,35.61,BID
2021-06-18,46.25,46.5,45.7,46.15,3200200,36.52,BID
2021-06-17,44.6,46.35,44.6,45.9,3579300,36.33,BID
2021-06-16,44.7,46.7,44.2,45.3,4217600,35.85,BID
2021-06-15,44.75,45.15,44,44.9,3257000,35.53,BID
2021-06-14,45.5,45.6,44.65,44.9,3394300,35.53,BID
2021-06-11,44,45.25,43.5,45.2,6390300,35.77,BID
2021-06-10,45.45,45.6,43.9,43.9,4483400,34.74,BID
2021-06-09,45,45.7,44,45.45,4454300,35.97,BID
2021-06-08,46.9,47.2,44.7,44.8,5685400,35.45,BID
2021-06-07,48.5,48.6,45.6,46.8,5295100,37.04,BID
2021-06-04,48.7,49.5,48,49,5939600,38.78,BID
2021-06-03,47.8,49.5,47.4,48.8,6715400,38.62,BID
2021-06-02,47.3,47.95,47.2,47.4,6063600,37.51,BID
2021-06-01,48.85,49,48,48,4096100,37.99,BID
2021-05-31,47.8,48.8,47.5,48.7,5647900,38.54,BID
2021-05-28,45.6,47.7,44.9,47.15,7857000,37.31,BID
2021-05-27,46.8,46.8,45.05,45.4,5882300,35.93,BID
2021-05-26,46.7,47.1,46.2,46.65,7369800,36.92,BID
2021-05-25,46,46.85,45.45,46.7,6329600,36.96,BID
2021-05-24,45.5,46.4,45.5,46,6994100,36.4,BID
2021-05-21,42,44.75,41.85,44.75,13027500,35.42,BID
2021-05-20,40.9,41.9,40,41.85,3495000,33.12,BID
2021-05-19,41,41.4,40.6,40.9,2872100,32.37,BID
2021-05-18,41.7,41.7,40.8,40.9,3903100,32.37,BID
2021-05-17,42.5,43,41.7,41.8,2992400,33.08,BID
2021-05-14,42.8,43,42.3,42.35,2724600,33.52,BID
2021-05-13,42.5,43.4,42,42.6,3483900,33.71,BID
2021-05-12,42,42.7,41.8,42.65,3331500,33.75,BID
2021-05-11,42,43.5,41.8,42.1,5349300,33.32,BID
2021-05-10,40.5,41.5,40.35,41.4,3027800,32.76,BID
2021-05-07,40.6,41.2,40.5,40.65,3706600,32.17,BID
2021-05-06,41.9,41.9,41.2,41.25,2246100,32.65,BID
2021-05-05,41.7,42.35,41.5,41.9,2692200,33.16,BID
2021-05-04,40,41.8,40,41.3,2171900,32.68,BID
2021-04-29,40.6,41.9,40.6,41,1949100,32.45,BID
2021-04-28,40.35,40.9,40.35,40.6,1379200,32.13,BID
2021-04-27,40.5,40.8,40.2,40.35,1978500,31.93,BID
2021-04-26,41.75,42,40.5,40.5,3328300,32.05,BID
2021-04-23,41,42.15,40.85,42,3078200,33.24,BID
2021-04-22,43.2,43.2,41,41,2929700,32.45,BID
2021-04-20,43.1,44,42.95,43.2,2676100,34.19,BID
2021-04-19,42,43.1,41.8,43,3194000,34.03,BID
2021-04-16,42.85,43.5,41.85,42,4667300,33.24,BID
2021-04-15,44.1,44.2,43,43.05,3705100,34.07,BID
2021-04-14,43.5,44.3,43,44,2839300,34.82,BID
2021-04-13,45,45.1,43.5,43.65,3952000,34.54,BID
2021-04-12,44.5,45.3,44.1,44.75,5149300,35.42,BID
2021-04-09,44.7,44.8,44.05,44.3,4489700,35.06,BID
2021-04-08,45.7,45.8,44.7,44.8,4412400,35.45,BID
2021-04-07,45.7,45.75,45.35,45.55,2609000,36.05,BID
2021-04-06,45.4,46.25,45.05,45.75,4113800,36.21,BID
2021-04-05,45.7,45.9,45.1,45.55,5969400,36.05,BID
2021-04-02,44.4,45.5,44.05,45,5794100,35.61,BID
2021-04-01,43,44,43,43.95,3706500,34.78,BID
2021-03-31,42.95,43.45,42.8,42.95,2170100,33.99,BID
2021-03-30,43,43.05,42.3,42.85,2304200,33.91,BID
2021-03-29,42.5,42.65,42.15,42.55,1347900,33.67,BID
2021-03-26,41.95,42.4,40.5,42.1,2445100,33.32,BID
2021-03-25,42.5,42.95,41.95,42.25,2369000,33.44,BID
2021-03-24,43,43.3,41.9,42.15,3521900,33.36,BID
2021-03-23,44.5,44.55,43.1,43.7,4549300,34.58,BID
2021-03-22,45,45,44.5,44.65,2562800,35.34,BID
2021-03-19,45,45.4,44.7,45,2885400,35.61,BID
2021-03-18,44,45.3,43.55,45,5666500,35.61,BID
2021-03-17,42.5,43.4,41.95,43.3,4346500,34.27,BID
2021-03-16,43,43.2,42.3,42.4,2223700,33.56,BID
2021-03-15,43.5,43.6,42.8,43,2779700,34.03,BID
2021-03-12,43.5,43.7,43.1,43.35,2536400,34.31,BID
2021-03-11,42.7,43.6,42.55,43.3,1672400,34.27,BID
2021-03-10,42,42.2,41.4,42,2085000,33.24,BID
2021-03-09,42.4,42.4,41.5,41.85,2430700,33.12,BID
2021-03-08,43.4,43.4,42.3,42.45,1595300,33.59,BID
2021-03-05,42.75,43.3,42,42.4,1857200,33.56,BID
2021-03-04,44,44.25,42.3,42.75,2089500,33.83,BID
2021-03-03,44.05,44.2,43.7,43.8,1583800,34.66,BID
2021-03-02,44.5,44.6,43.85,44.05,2124000,34.86,BID
2021-03-01,43.6,44.4,43.6,44.1,2251400,34.9,BID
2021-02-26,42.8,43.7,42.3,43.6,1404500,34.51,BID
2021-02-25,43.15,43.8,42.2,42.95,1733200,33.99,BID
2021-02-24,43.9,44.2,42.6,43.05,1640000,34.07,BID
2021-02-23,43.75,44.1,43.2,44,1558100,34.82,BID
2021-02-22,44.1,44.5,43.7,43.75,1573800,34.62,BID
2021-02-19,43,44.5,42.85,44.1,2027200,34.9,BID
2021-02-18,42.2,43.5,41.7,43.4,2339700,34.35,BID
2021-02-17,40.85,42.1,40.85,42.1,1439000,33.32,BID
2021-02-09,40.5,41.2,39.7,40.8,1448500,32.29,BID
2021-02-08,40.1,42,39.05,40.1,1914900,31.74,BID
2021-02-05,41.5,42.1,41.3,41.8,1313300,33.08,BID
2021-02-04,41.4,41.6,40.9,41.5,1468500,32.84,BID
2021-02-03,40.1,41.5,39.7,41.35,1851900,32.72,BID
2021-02-02,38.9,39.95,38.55,39.35,2531000,31.14,BID
2021-02-01,39.9,41,38.65,39.1,1545000,30.94,BID
2021-01-29,36.5,40.85,36.5,39.9,2008200,31.58,BID
2021-01-28,39,40,38.45,38.45,2692000,30.43,BID
2021-01-27,42.55,43.4,40.6,41.3,2102100,32.68,BID
2021-01-26,44.35,44.35,41.8,42.55,1836800,33.67,BID
2021-01-25,45,45.2,44.4,44.6,1371900,35.3,BID
2021-01-22,46.5,46.55,45.1,45.25,2211800,35.81,BID
2021-01-21,45.6,46.5,45.2,46.5,1390700,36.8,BID
2021-01-20,45.25,46.5,42.5,45.5,2306500,36.01,BID
2021-01-19,48.6,48.6,45.25,45.25,3808900,35.81,BID
